citation_key,entry_type,bib_doi,api_doi,status,http_status,title_similarity,author_overlap,bib_title,api_title,bib_year,api_year,candidate_doi,candidate_title,candidate_title_similarity,search_http_status,source,registry_http_status,registry_source,crossref_search_http_status,crossref_search_source,populated_fields,notes
Abedrabbo2023InfluenceCryogenicGrinding,article,10.1016/j.jmrt.2023.01.111,10.1016/j.jmrt.2023.01.111,verified,200,1.0000,0.7500,Influence of Cryogenic Grinding Surface on Fatigue Performance of Carburised {{27MnCr5}},Influence of cryogenic grinding surface on fatigue performance of carburised 27MnCr5,2023,2023,,,,,cache,,,,,,
Boaron2018DynamicInprocessCharacterization,article,10.1016/j.wear.2018.04.009,10.1016/j.wear.2018.04.009,verified,200,1.0000,1.0000,Dynamic In-Process Characterization Method Based on Acoustic Emission for Topographic Assessment of Conventional Grinding Wheels,Dynamic in-process characterization method based on acoustic emission for topographic assessment of conventional grinding wheels,2018,2018,,,,,cache,,,,,,
Botcha2018ProcessmachineInteractionsMultisensor,article,10.1016/j.promfg.2018.07.080,10.1016/j.promfg.2018.07.080,verified,200,1.0000,0.7500,Process-Machine Interactions and a Multi-Sensor Fusion Approach to Predict Surface Roughness in Cylindrical Plunge Grinding Process,Process-machine interactions and a multi-sensor fusion approach to predict surface roughness in cylindrical plunge grinding process,2018,2018,,,,,cache,,,,,,
Brient2011InfluenceGrindingParameters,article,10.1115/1.4004317,10.1115/1.4004317,verified,200,1.0000,1.0000,Influence of Grinding Parameters on Glass Workpieces Surface Finish Using Response Surface Methodology,Influence of grinding parameters on glass workpieces surface finish using response surface methodology,2011,2011,,,,,cache,,,,,,
Caesarendra2021CNNPredictionMethod,article,10.3390/electronics10121429,10.3390/electronics10121429,verified,200,1.0000,1.0000,A {{CNN}} Prediction Method for Belt Grinding Tool Wear in a Polishing Process Utilizing 3-Axes Force and Vibration Data,A cnn prediction method for belt grinding tool wear in a polishing process utilizing 3-axes force and vibration data,2021,2021,,,,,cache,,,,,,
Cao2018DuctilebrittleTransitionBehavior,article,10.1007/s00170-018-1715-5,10.1007/s00170-018-1715-5,verified,200,1.0000,1.0000,Ductile-Brittle Transition Behavior in the Ultrasonic Vibration-Assisted Internal Grinding of Silicon Carbide Ceramics,Ductile-brittle transition behavior in the ultrasonic vibration-assisted internal grinding of silicon carbide ceramics,2018,2018,,,,,cache,,,,,,
Chen2005CriticalConditionsBrittle,article,10.1016/j.jmatprotec.2004.11.002,10.1016/j.jmatprotec.2004.11.002,verified,200,1.0000,1.0000,The Critical Conditions of Brittle--Ductile Transition and the Factors Influencing the Surface Quality of Brittle Materials in Ultra-Precision Grinding,The critical conditions of brittle-ductile transition and the factors influencing the surface quality of brittle materials in ultra-precision grinding,2005,2005,,,,,cache,,,,,,
Chen2015EffectGrindingWheel,article,10.1016/j.ijmachtools.2015.01.003,10.1016/j.ijmachtools.2015.01.003,verified,200,1.0000,1.0000,Effect of Grinding Wheel Spindle Vibration on Surface Roughness and Subsurface Damage in Brittle Material Grinding,Effect of grinding wheel spindle vibration on surface roughness and subsurface damage in brittle material grinding,2015,2015,,,,,cache,,,,,,
Chen2016TheoreticalStudyBrittle,article,10.1016/j.precisioneng.2016.04.005,10.1016/j.precisioneng.2016.04.005,verified,200,0.9960,1.0000,Theoretical Study on Brittle--Ductile Transition Behavior in Elliptical Ultrasonic Assisted Grinding of Hard Brittle Materials,Theoretical study on brittle–ductile transition behavior in elliptical ultrasonic assisted grinding of hard brittle materials,2016,2016,,,,,cache,,,,,,
Chen2024MaterialRemovalMechanisms,article,10.1016/j.cja.2024.01.021,10.1016/j.cja.2024.01.021,verified,200,1.0000,1.0000,Material Removal Mechanisms in Ultrasonic Vibration-Assisted High-Efficiency Deep Grinding {$\gamma$}-{{TiAl}} Alloy,Material removal mechanisms in ultrasonic vibration-assisted high-efficiency deep grinding γ-TiAl alloy,2024,2024,,,,,cache,,,,,,
Chen2025PredictiveModellingSurface,article,10.1016/j.cirpj.2025.02.004,10.1016/j.cirpj.2025.02.004,verified,200,1.0000,1.0000,Predictive Modelling of Surface Roughness in Precision Grinding Based on Hybrid Algorithm,Predictive modelling of surface roughness in precision grinding based on hybrid algorithm,2025,2025,,,,,cache,,,,,,
Dias2016MonitoringThroughfeedCentreless,article,10.1016/j.measurement.2016.07.075,10.1016/j.measurement.2016.07.075,verified,200,1.0000,0.7500,Monitoring of Through-Feed Centreless Grinding Processes with Acoustic Emission Signals,Monitoring of through-feed centreless grinding processes with acoustic emission signals,2016,2016,,,,,cache,,,,,,
Dimla2004Investigationcomplexrapid,article,10.1007/s00170-003-1709-8,10.1007/s00170-003-1709-8,verified,200,1.0000,1.0000,Investigation of Complex Rapid {{EDM}} Electrodes for Rapid Tooling Applications,Investigation of complex rapid EDM electrodes for rapid tooling applications,2004,2004,,,,,cache,,,,,,
Feng2023CorrelationVibrationSignal,article,10.1016/j.ymssp.2023.110654,10.1016/j.ymssp.2023.110654,verified,200,1.0000,1.0000,Correlation between Vibration Signal and Surface Quality Based on Recurrence Analysis during Surface Burnishing Process,Correlation between vibration signal and surface quality based on recurrence analysis during surface burnishing process,2023,2023,,,,,cache,,,,,,
GarciaPlaza2019EfficiencyVibrationSignal,article,10.1016/j.jmapro.2019.05.046,10.1016/j.jmapro.2019.05.046,verified,200,1.0000,0.0000,Efficiency of Vibration Signal Feature Extraction for Surface Finish Monitoring in {{CNC}} Machining,Efficiency of vibration signal feature extraction for surface finish monitoring in CNC machining,2019,2019,,,,,cache,,,,,,
Gu2023SurfaceRoughnessPrediction,article,10.1016/j.jmapro.2023.05.093,10.1016/j.jmapro.2023.05.093,verified,200,1.0000,1.0000,Surface Roughness Prediction of {{SiCp}}/al Composites in Ultrasonic Vibration-Assisted Grinding,Surface roughness prediction of SiCp/Al composites in ultrasonic vibration-assisted grinding,2023,2023,,,,,cache,,,,,,
He2021InvestigationConditionsLeading,article,10.1016/j.wear.2021.204048,10.1016/j.wear.2021.204048,verified,200,1.0000,0.0000,Investigation of Conditions Leading to Critical Transitions between Abrasive Belt Wear Modes for Rail Grinding,Investigation of conditions leading to critical transitions between abrasive belt wear modes for rail grinding,2021,2021,,,,,cache,,,,,,
Huang2023WearDetectionMillgrinding,article,10.1007/s00170-022-09058-7,10.1007/s00170-022-09058-7,verified,200,1.0000,1.0000,The Wear Detection of Mill-Grinding Tool Based on Acoustic Emission Sensor,The wear detection of mill-grinding tool based on acoustic emission sensor,2023,2023,,,,,cache,,,,,,
Huo2024SurfaceSubsurfaceDamage,article,10.1016/j.surfin.2024.105088,10.1016/j.surfin.2024.105088,verified,200,1.0000,1.0000,Surface/Subsurface Damage Mechanisms and Inhibition Strategies in Machining of Hard and Brittle Materials: {{A}} Systematic Review,Surface/subsurface damage mechanisms and inhibition strategies in machining of hard and brittle materials: A systematic review,2024,2024,,,,,cache,,,,,,
Jessel2024ToolConditionMonitoring,article,10.1007/s00170-023-12700-7,10.1007/s00170-023-12700-7,verified,200,1.0000,1.0000,Tool Condition Monitoring of Diamond-Coated Burrs with Acoustic Emission Utilising Machine Learning Methods,Tool condition monitoring of diamond-coated burrs with acoustic emission utilising machine learning methods,2024,2024,,,,,cache,,,,,,
Jia2023GrindingPerformanceAcoustic,article,10.1016/j.jmatprotec.2023.118011,10.1016/j.jmatprotec.2023.118011,verified,200,1.0000,1.0000,Grinding Performance and Acoustic Emissions of Structured {{CVD}} Diamond Micro-Grinding Tools,Grinding performance and acoustic emissions of structured CVD diamond micro-grinding tools,2023,2023,,,,,cache,,,,,,
Jiang2022GrindingTemperatureSurface,article,10.3390/ma15217723,10.3390/ma15217723,verified,200,1.0000,1.0000,Grinding Temperature and Surface Integrity of Quenched Automotive Transmission Gear during the Form Grinding Process,Grinding Temperature and Surface Integrity of Quenched Automotive Transmission Gear during the Form Grinding Process,2022,2022,,,,,cache,,,,,,
Khazi2020RealTimeInsitu,inproceedings,10.1109/icse49846.2020.9166898,10.1109/icse49846.2020.9166898,verified,200,1.0000,1.0000,Real Time In-Situ Quality Monitoring of Grinding Process Using Microtechnology Based Sensor Fusion,Real time In-Situ Quality Monitoring of Grinding Process using Microtechnology based Sensor Fusion,2020,2020,,,,,cache,,,,,,
KumarPatel2018OptimizationParametersCylindrical,article,10.1098/rsos.171906,10.1098/rsos.171906,verified,200,1.0000,1.0000,Optimization of Parameters in Cylindrical and Surface Grinding for Improved Surface Finish,Optimization of parameters in cylindrical and surface grinding for improved surface finish,2018,2018,,,,,cache,,,,,,
Lee2021EstimationCBNGrinding,article,10.1016/j.promfg.2021.06.031,10.1016/j.promfg.2021.06.031,verified,200,1.0000,0.6667,Estimation of {{cBN}} Grinding Wheel Condition Using Image Sensor,Estimation of cBN grinding wheel condition using image sensor,2021,2021,,,,,cache,,,,,,
Li2023KeyTechnologiesLaserassisted,article,10.1016/j.jeurceramsoc.2023.03.048,10.1016/j.jeurceramsoc.2023.03.048,verified,200,1.0000,1.0000,Key Technologies for Laser-Assisted Precision Grinding of {{3D C}}/{{C-SiC}} Composites,Key technologies for laser-assisted precision grinding of 3D C/C-SiC composites,2023,2023,,,,,cache,,,,,,
Li2024DressingPrincipleParameter,article,10.1007/s00170-023-11916-x,10.1007/s00170-023-11916-x,verified,200,1.0000,1.0000,Dressing Principle and Parameter Optimization of Ultrasonic-Assisted Diamond Roller Dressing {{WA}} Grinding Wheel Using Response Surface Methodology and Genetic Algorithm,Dressing principle and parameter optimization of ultrasonic-assisted diamond roller dressing WA grinding wheel using response surface methodology and genetic algorithm,2024,2024,,,,,cache,,,,,,
